season,week,date,away_team,home_team,home_score,away_score,home_line_open,home_line_close,home_ml_open,home_ml_close,away_ml_open,away_ml_close,total_open,total_close
2023,6,2023-10-15,NO,HOU,20,13,1.0,2.5,1.952,2.2000000000000002,1.869,1.714,40.5,41.5
2023,6,2023-10-15,IND,JAX,37,20,-5.5,-4.0,1.4,1.5,3.1,2.7,45.5,44
2023,6,2023-10-15,CAR,MIA,42,21,-10.5,-14.0,1.181,1.083,5.25,8.5,46,47.5
2023,6,2023-10-15,BAL,TEN,16,24,5.5,5.5,2.8,3,1.454,1.4159999999999999,41.5,42.5
2023,6,2023-10-16,DAL,LAC,17,20,2.5,1.0,2.2000000000000002,2,1.714,1.833,47.5,50
2023,7,2023-10-19,JAX,NO,24,31,-1.0,-2.5,1.909,1.714,1.909,2.2000000000000002,42.5,41
2023,7,2023-10-22,MIA,PHI,31,17,-2.5,-3.0,1.714,1.625,2.2000000000000002,2.4,52.5,52
2023,7,2023-10-22,GB,DEN,19,17,1.5,-1.5,2.0499999999999998,1.833,1.8,2,45.5,44
2023,7,2023-10-22,LAC,KC,31,17,-6.0,-5.5,1.4079999999999999,1.4,3.05,3.1,52,48.5
2023,7,2023-10-22,PIT,LA,17,24,-3.0,-3.5,1.645,1.571,2.35,2.5499999999999998,42.5,44
2023,7,2023-10-22,ARI,SEA,20,10,-7.0,-9.0,1.2849999999999999,1.2350000000000001,3.75,4.25,46.5,43.5
2023,7,2023-10-22,DET,BAL,38,6,-2.5,-3.0,1.714,1.625,2.2000000000000002,2.4,44.5,43.5
2023,7,2023-10-22,LV,CHI,30,12,1.0,2.5,1.952,2.15,1.869,1.74,46.5,38.5
2023,7,2023-10-22,CLE,IND,38,39,2.5,3.5,2.25,2.5499999999999998,1.6890000000000001,1.571,42.5,39.5
2023,7,2023-10-22,BUF,NE,29,25,9.0,7.5,4.25,4.0999999999999996,1.2350000000000001,1.256,43.5,41
2023,7,2023-10-22,WAS,NYG,14,7,1.0,3.0,1.952,2.35,1.869,1.645,42,37
2023,7,2023-10-22,ATL,TB,13,16,-2.5,-3.0,1.74,1.6659999999999999,2.15,2.2999999999999998,40.5,37.5
2023,7,2023-10-23,SF,MIN,22,17,7.0,7.0,3.8,3.5,1.2769999999999999,1.3220000000000001,45.5,44
2023,8,2023-10-26,TB,BUF,24,18,-8.0,-10.0,1.2629999999999999,1.2,4,4.75,42,43
2023,8,2023-10-29,CHI,LAC,30,13,-9.5,-9.5,1.222,1.19,4.5,5,47.5,46
2023,8,2023-10-29,BAL,ARI,24,31,7.5,9.5,3.9,5,1.27,1.19,43,45
2023,8,2023-10-29,KC,DEN,24,9,8.5,7.0,4.25,3.65,1.2350000000000001,1.3029999999999999,45.5,45.5
2023,8,2023-10-29,CIN,SF,17,31,-6.0,-4.0,1.3839999999999999,1.476,3.15,2.75,46,44
2023,8,2023-10-29,CLE,SEA,24,20,-2.0,-4.0,1.7689999999999999,1.476,2.1,2.75,41.5,38.5
2023,8,2023-10-29,HOU,CAR,15,13,3.0,3.5,2.4,2.5499999999999998,1.625,1.571,41.5,43
2023,8,2023-10-29,LA,DAL,43,20,-6.0,-7.0,1.444,1.333,2.85,3.4,44.5,45.5
2023,8,2023-10-29,MIN,GB,10,24,-1.5,1.5,1.8,2.0499999999999998,2.0499999999999998,1.8,44.5,41.5
2023,8,2023-10-29,NO,IND,27,38,1.5,2.0,2.0499999999999998,2.15,1.8,1.74,40,43.5
2023,8,2023-10-29,NE,MIA,31,17,-12.0,-8.0,1.1419999999999999,1.256,6,4.0999999999999996,47,47
2023,8,2023-10-29,NYJ,NYG,10,13,3.0,3.0,2.4,2.4500000000000002,1.625,1.6060000000000001,36.5,34.5
2023,8,2023-10-29,JAX,PIT,10,20,1.5,2.5,2.0499999999999998,2.2000000000000002,1.8,1.714,41.5,40.5
2023,8,2023-10-29,ATL,TEN,28,23,-1.0,2.5,1.869,2.2000000000000002,1.952,1.714,39,35.5
2023,8,2023-10-29,PHI,WAS,31,38,6.0,7.0,3.1,3.6,1.4,1.3120000000000001,47,43
2023,8,2023-10-30,LV,DET,26,14,-7.5,-7.0,1.2849999999999999,1.3029999999999999,3.75,3.65,44.5,46
2023,9,2023-11-02,TEN,PIT,20,16,-3.0,-3.0,1.5880000000000001,1.6060000000000001,2.5,2.4500000000000002,37.5,37
2023,9,2023-11-05,BUF,CIN,24,18,1.5,-1.5,2.0499999999999998,1.8,1.8,2.0499999999999998,46.5,51
2023,9,2023-11-05,NYG,LV,30,6,-2.5,-1.5,1.6890000000000001,1.833,2.25,2,39.5,38.5
2023,9,2023-11-05,DAL,PHI,28,23,-3.0,-3.0,1.625,1.5880000000000001,2.4,2.5,46.5,46.5
2023,9,2023-11-05,IND,CAR,13,27,2.5,1.5,2.25,2.0499999999999998,1.6890000000000001,1.8,42.5,45
2023,9,2023-11-05,MIN,ATL,28,31,-1.0,-3.5,1.869,1.54,1.952,2.65,41.5,39
2023,9,2023-11-05,SEA,BAL,37,3,-4.5,-6.0,1.476,1.357,2.75,3.3,42.5,44.5
2023,9,2023-11-05,ARI,CLE,27,0,-8.5,-13.0,1.2629999999999999,1.125,4,6.5,39,38
2023,9,2023-11-05,LA,GB,20,3,1.0,-3.5,1.952,1.54,1.869,2.65,43.5,37.5
2023,9,2023-11-05,TB,HOU,39,37,-2.5,-2.5,1.74,1.6659999999999999,2.15,2.2999999999999998,39.5,40
2023,9,2023-11-05,WAS,NE,17,20,-2.0,-3.0,1.7689999999999999,1.6659999999999999,2.1,2.2999999999999998,39,40.5
2023,9,2023-11-05,CHI,NO,24,17,-5.5,-9.0,1.4339999999999999,1.2350000000000001,2.9,4.25,40.5,42
2023,9,2023-11-05,MIA,KC,21,14,-5.5,-1.0,1.454,1.869,2.8,1.952,51.5,51
2023,9,2023-11-06,LAC,NYJ,6,27,1.5,3.0,2.0499999999999998,2.4500000000000002,1.8,1.6060000000000001,43,41
2024,1,2024-09-05,BAL,KC,27,20,-2.5,-3.0,1.645,1.6659999999999999,2.2999999999999998,2.25,47.5,47
2024,1,2024-09-06,GB,PHI,34,29,-1.5,-2.0,1.833,1.7689999999999999,2,2.1,50.5,49.5
2024,1,2024-09-08,LA,DET,26,20,-3.5,-4.5,1.5880000000000001,1.454,2.4500000000000002,2.8,52.5,52.5
2024,1,2024-09-08,DAL,CLE,17,33,1.0,-2.5,1.952,1.714,1.869,2.2000000000000002,44,41
2024,1,2024-09-08,WAS,TB,37,20,-4.0,-3.5,1.526,1.526,2.6,2.6,40.5,42.5
2024,1,2024-09-08,LV,LAC,22,10,-3.0,-3.0,1.645,1.625,2.2999999999999998,2.35,42.5,40
