season,week,game_id,team,opp,is_home,off_plays,off_epa,off_pass_plays,off_pass_epa,off_rush_plays,off_rush_epa,off_success,off_plays_gt,off_epa_gt
2013,6,2013_06_NYG_CHI,NYG,CHI,0,53,1.4629,27,-0.8632,26,2.3261,22,53,1.4629
2013,6,2013_06_OAK_KC,KC,LV,1,61,-11.9616,34,-13.9785,27,2.0169,18,58,-10.4879
2013,6,2013_06_OAK_KC,LV,KC,0,71,-19.1416,43,-17.649,28,-1.4926,28,58,-11.1306
2013,6,2013_06_PHI_TB,PHI,TB,0,64,14.5612,32,19.0604,32,-4.4993,31,56,16.3841
2013,6,2013_06_PHI_TB,TB,PHI,1,66,0.0232,45,1.9934,21,-1.9702,25,58,2.585
2013,6,2013_06_PIT_NYJ,NYJ,PIT,1,57,-13.9342,37,-12.5649,20,-1.3693,23,49,-13.5908
2013,6,2013_06_PIT_NYJ,PIT,NYJ,0,61,5.5461,35,8.6887,26,-3.1426,20,49,9.2745
2013,6,2013_06_STL_HOU,HOU,LA,1,73,-9.9552,43,-14.1248,30,4.1697,30,32,-0.837
2013,6,2013_06_STL_HOU,LA,HOU,0,41,9.4305,16,11.5725,25,-2.142,20,35,11.5295
2013,6,2013_06_TEN_SEA,SEA,TEN,1,62,-3.279,32,-0.6228,30,-2.6562,31,58,-2.6497
2013,6,2013_06_TEN_SEA,TEN,SEA,0,52,-7.7311,32,-4.1969,20,-3.5342,20,51,-11.1185
2013,6,2013_06_WAS_DAL,DAL,WAS,1,50,-1.7643,31,-1.6744,19,-0.0899,23,41,-0.1896
2013,6,2013_06_WAS_DAL,WAS,DAL,0,75,1.1463,42,-6.6841,33,7.8303,33,61,4.6548
2013,7,2013_07_BAL_PIT,BAL,PIT,0,61,8.1277,35,10.3488,26,-2.2211,27,61,8.1277
2013,7,2013_07_BAL_PIT,PIT,BAL,1,54,6.0281,26,1.9328,28,4.0952,29,54,6.0281
2013,7,2013_07_BUF_MIA,BUF,MIA,0,65,-3.4183,36,-1.0383,29,-2.38,23,65,-3.4183
2013,7,2013_07_BUF_MIA,MIA,BUF,1,64,-8.9886,39,-9.1599,25,0.1712,25,64,-8.9886
2013,7,2013_07_CHI_WAS,CHI,WAS,0,51,8.0945,30,0.168,21,7.9265,25,51,8.0945
2013,7,2013_07_CHI_WAS,WAS,CHI,1,73,17.735,30,12.4328,43,5.3022,40,73,17.735
2013,7,2013_07_CIN_DET,CIN,DET,0,53,18.8706,35,24.9092,18,-6.0386,25,53,18.8706
2013,7,2013_07_CIN_DET,DET,CIN,1,76,14.7722,51,20.8736,25,-6.1014,29,76,14.7722
2013,7,2013_07_CLE_GB,CLE,GB,0,68,-10.1287,45,-12.5058,23,2.3771,27,50,-10.3983
2013,7,2013_07_CLE_GB,GB,CLE,1,65,15.3749,37,14.254,28,1.121,30,53,7.4438
2013,7,2013_07_DAL_PHI,DAL,PHI,0,73,-1.6942,49,2.9198,24,-4.614,33,67,1.9828
