Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
73,5180066052,ellisac1 (9/14),0,103.65,1B Nick Kurtz 2B Ketel Marte 3B Sal Stewart C Shea Langeliers OF Esteury Ruiz OF Lawrence Butler OF Cedric Mullins P Taj Bradley P Tatsuya Imai SS Joshua Kuroda-Grauer,,Lawrence Butler,OF,4.21%,2
74,5180066054,ellisac1 (11/14),0,102.95,1B Jonathan Aranda 2B Joshua Kuroda-Grauer 3B Sal Stewart C Shea Langeliers OF Esteury Ruiz OF Lawrence Butler OF Colby Thomas P Max Meyer P Taj Bradley SS Otto Lopez,,Jung Hoo Lee,OF,4.00%,17
75,5180064857,Prestonite (1/14),0,102.8,1B Jonathan Aranda 2B Ketel Marte 3B Sal Stewart C Jonah Heim OF Yordan Alvarez OF Andy Pages OF Lourdes Gurriel Jr. P Andrew Abbott P Shane Drohan SS Geraldo Perdomo,,Seth Lugo,P,4.00%,15.5
76,5180081326,Flipdogg316,0,102.6,1B Sal Stewart 2B Ivan Johnson 3B Junior Caminero C Drake Baldwin OF Heriberto Hernandez OF Noelvi Marte OF Mike Yastrzemski P Max Meyer P Shane McClanahan SS Elly De La Cruz,,Alec Burleson,1B,3.79%,0
77,5180075680,seth37iso (14/14),0,102.3,1B Bryce Eldridge 2B Willi Castro 3B Kyle Karros C Hunter Goodman OF Kyle Tucker OF Jake McCarthy OF Victor Bericoto P Taj Bradley P Andrew Abbott SS Ezequiel Tovar,,Brooks Lee,3B,3.79%,7
77,5180078261,Wanna_Square_Up1567 (13/14),0,102.3,1B Josh Bell 2B JJ Wetherholt 3B Javier Sanoja C Brian Navarreto OF Heriberto Hernandez OF Kody Clemens OF Esteury Ruiz P Taj Bradley P Andrew Abbott SS Otto Lopez,,Jorge Mateo,SS,3.79%,0
79,5180080014,Boudin71 (1/3),0,101.95,1B Rafael Devers 2B Luis Arraez 3B Javier Sanoja C Victor Caratini OF Kyle Stowers OF Owen Caissie OF Jung Hoo Lee P Max Meyer P Taj Bradley SS Otto Lopez,,Owen Caissie,OF,3.79%,3
80,5180062745,SpartanDawgs21 (2/4),0,101.8,1B Rafael Devers 2B Ketel Marte 3B Javier Sanoja C Gary Sanchez OF Kyle Stowers OF Jake McCarthy OF Chandler Simpson P Max Meyer P Trevor McDonald SS Mookie Betts,,Joey Ortiz,3B,3.79%,0
80,5180062746,SpartanDawgs21 (3/4),0,101.8,1B Rafael Devers 2B Ketel Marte 3B Javier Sanoja C Gary Sanchez OF Kyle Stowers OF Jake McCarthy OF Chandler Simpson P Max Meyer P Trevor McDonald SS Mookie Betts,,Spencer Steer,OF,3.58%,2
82,5180097120,Screenmachine,0,101.4,1B Alec Burleson 2B Ozzie Albies 3B Javier Sanoja C Gabriel Moreno OF Corbin Carroll OF Andy Pages OF Heriberto Hernandez P Max Meyer P Seth Lugo SS Joshua Kuroda-Grauer,,Jordan Walker,OF,3.58%,10
